Časová pečiatka,Koľko máte rokov?,"Ste? (ak ste aj študent aj pracujúci, označte študent)",Organizovali ste niekedy nejakú udalosť?,Počuli ste už o službe Eventee?,Vizualizácia je prehľadná.,Zvolené atribúty sú zaujímavé.,Použil(a) by som vizualizáciu znovu pri organizovaní ďalšej konferencie.,"Celkovo si myslím, že vizualizácia je užitočná.",Vizualizácia je prehľadná.,Použil(a) by som vizualizáciu znovu pri organizovaní ďalšej konferencie.,"Celkovo si myslím, že vizualizácia je užitočná.",Vizualizácia je prehľadná.,Použil(a) by som vizualizáciu znovu pri organizovaní ďalšej konferencie.,"Celkovo si myslím, že vizualizácia je užitočná.",Vizualizácia je prehľadná.,Použil(a) by som vizualizáciu znovu pri organizovaní ďalšej konferencie.,"Celkovo si myslím, že vizualizácia je užitočná.",Vizualizácia je prehľadná.,Zvolené atribúty sú zaujímavé.,Použil(a) by som vizualizáciu znovu pri organizovaní ďalšej konferencie.,"Celkovo si myslím, že vizualizácia je užitočná.",Návrhy na vylepšenie
7.5.2017 22:42:35,Viac ako 18 a menej ako 25 (vrátane),Študent vysokej školy,"Nie, ale viem sa dokonale vcítiť do role organizátora.","Áno, vyvíjam/vývíjal som túto aplikáciu",Súhlasím,Veľmi súhlasím,Veľmi súhlasím,Veľmi súhlasím,Veľmi súhlasím,Súhlasím,Veľmi súhlasím,Neviem,Nesúhlasím,Súhlasím,Súhlasím,Veľmi súhlasím,Veľmi súhlasím,Súhlasím,Veľmi súhlasím,Veľmi súhlasím,Veľmi súhlasím,
8.5.2017 21:58:31,Viac ako 18 a menej ako 25 (vrátane),Študent vysokej školy,"Nie, neviem si predstaviť aké je to byť organizátorom.","Áno, z iných zdrojov ako spomínaných.",Veľmi súhlasím,Súhlasím,Neviem,Súhlasím,Veľmi súhlasím,Neviem,Súhlasím,Súhlasím,Neviem,Súhlasím,Súhlasím,Neviem,Neviem,Súhlasím,Veľmi súhlasím,Súhlasím,Súhlasím,
9.5.2017 19:19:49,Viac ako 18 a menej ako 25 (vrátane),Študent vysokej školy,"Áno, ale inú udalosť ako konferenciu.",Nie.,Súhlasím,Veľmi súhlasím,Súhlasím,Súhlasím,Veľmi súhlasím,Súhlasím,Súhlasím,Súhlasím,Súhlasím,Súhlasím,Súhlasím,Nesúhlasím,Súhlasím,Nesúhlasím,Súhlasím,Nesúhlasím,Súhlasím,
9.5.2017 19:22:34,Viac ako 25 a menej ako 40 (vrátane),Pracujúci,"Áno, ale inú udalosť ako konferenciu.",Nie.,Súhlasím,Neviem,Nesúhlasím,Súhlasím,Súhlasím,Nesúhlasím,Súhlasím,Súhlasím,Neviem,Súhlasím,Súhlasím,Súhlasím,Súhlasím,Súhlasím,Súhlasím,Súhlasím,Súhlasím,"Pro člověka naprosto mimo obor je to zezačátku krapet nepřehledné a musím přiznat, že jsem se musel soustředit, abych pochopil, co se po mně chce. Tak to holt u projektů od IT lidí bývá. #nohate, jen bych se to asi pokusil udělat více lidské, ale jinak je to dobré."
9.5.2017 19:24:30,Viac ako 18 a menej ako 25 (vrátane),Študent vysokej školy,"Nie, ale viem sa dokonale vcítiť do role organizátora.",Nie.,Veľmi súhlasím,Súhlasím,Neviem,Neviem,Súhlasím,Súhlasím,Súhlasím,Súhlasím,Súhlasím,Súhlasím,Neviem,Neviem,Súhlasím,Súhlasím,Súhlasím,Súhlasím,Súhlasím,
9.5.2017 19:28:23,Viac ako 18 a menej ako 25 (vrátane),Študent vysokej školy,"Áno, ale inú udalosť ako konferenciu.","Áno, z iných zdrojov ako spomínaných.",Súhlasím,Súhlasím,Súhlasím,Súhlasím,Súhlasím,Súhlasím,Veľmi súhlasím,Neviem,Neviem,Súhlasím,Veľmi súhlasím,Veľmi súhlasím,Veľmi súhlasím,Veľmi súhlasím,Veľmi súhlasím,Veľmi súhlasím,Veľmi súhlasím,
9.5.2017 19:30:31,Viac ako 18 a menej ako 25 (vrátane),Študent vysokej školy,"Nie, neviem si predstaviť aké je to byť organizátorom.",Nie.,Nesúhlasím,Súhlasím,Nesúhlasím,Neviem,Nesúhlasím,Nesúhlasím,Veľmi nesúhlasím,Veľmi nesúhlasím,Veľmi nesúhlasím,Nesúhlasím,Súhlasím,Neviem,Neviem,Veľmi nesúhlasím,Súhlasím,Nesúhlasím,Nesúhlasím,"https://pbs.twimg.com/media/B_7aI4nWEAAumQf.png, porovnavas jabka a hrusky v modalnim okne, ""You events"""
9.5.2017 19:36:52,Viac ako 18 a menej ako 25 (vrátane),Študent vysokej školy,"Nie, ale viem sa dokonale vcítiť do role organizátora.",Nie.,Veľmi súhlasím,Súhlasím,Neviem,Súhlasím,Súhlasím,Súhlasím,Veľmi súhlasím,Súhlasím,Súhlasím,Súhlasím,Neviem,Nesúhlasím,Nesúhlasím,Súhlasím,Súhlasím,Súhlasím,Súhlasím,
9.5.2017 19:38:04,Viac ako 25 a menej ako 40 (vrátane),Pracujúci,"Áno, ale inú udalosť ako konferenciu.","Áno, z iných zdrojov ako spomínaných.",Súhlasím,Súhlasím,Súhlasím,Súhlasím,Veľmi súhlasím,Súhlasím,Veľmi súhlasím,Nesúhlasím,Neviem,Súhlasím,Veľmi súhlasím,Veľmi súhlasím,Veľmi súhlasím,Veľmi súhlasím,Veľmi súhlasím,Súhlasím,Súhlasím,
9.5.2017 19:39:58,Viac ako 18 a menej ako 25 (vrátane),Študent vysokej školy,"Nie, ale viem sa dokonale vcítiť do role organizátora.",Nie.,Veľmi súhlasím,Súhlasím,Súhlasím,Veľmi súhlasím,Veľmi súhlasím,Súhlasím,Súhlasím,Veľmi súhlasím,Súhlasím,Súhlasím,Veľmi súhlasím,Súhlasím,Súhlasím,Veľmi súhlasím,Veľmi súhlasím,Súhlasím,Veľmi súhlasím,
9.5.2017 19:58:01,Viac ako 25 a menej ako 40 (vrátane),Pracujúci,"Nie, ale viem sa dokonale vcítiť do role organizátora.",Nie.,Súhlasím,Súhlasím,Súhlasím,Súhlasím,Nesúhlasím,Neviem,Neviem,Neviem,Neviem,Neviem,Nesúhlasím,Nesúhlasím,Nesúhlasím,Súhlasím,Veľmi súhlasím,Súhlasím,Súhlasím,"Perfektne provedena vizualizace nepotrebuje ""Help"" tlacitko s popisem toho, co je na obrazovce videt. To, ze grafy nejsou viditelne oddeleny do sekci prehlednosti nepomaha, a to, ze nemaji grafy oznacene osy, take ne. V modalnim okne by pak mohl graf mit ruzne barvy, ne vsechno zelene, protoze to pak hodi vse dohromady a informacni hodnota je o to nizsi."
9.5.2017 20:40:36,Viac ako 40.,Pracujúci,"Nie, ale viem sa dokonale vcítiť do role organizátora.",Nie.,Súhlasím,Súhlasím,Súhlasím,Veľmi súhlasím,Súhlasím,Súhlasím,Súhlasím,Súhlasím,Súhlasím,Súhlasím,Veľmi súhlasím,Súhlasím,Súhlasím,Veľmi súhlasím,Súhlasím,Súhlasím,Veľmi súhlasím,
9.5.2017 21:43:16,Viac ako 18 a menej ako 25 (vrátane),Študent vysokej školy,"Nie, neviem si predstaviť aké je to byť organizátorom.",Nie.,Veľmi súhlasím,Súhlasím,Súhlasím,Súhlasím,Veľmi súhlasím,Veľmi súhlasím,Veľmi súhlasím,Nesúhlasím,Nesúhlasím,Nesúhlasím,Súhlasím,Súhlasím,Súhlasím,Súhlasím,Súhlasím,Súhlasím,Súhlasím,
10.5.2017 12:54:09,Viac ako 18 a menej ako 25 (vrátane),Študent vysokej školy,"Nie, ale viem sa dokonale vcítiť do role organizátora.","Áno, vyvíjam/vývíjal som túto aplikáciu.",Súhlasím,Súhlasím,Súhlasím,Súhlasím,Nesúhlasím,Neviem,Súhlasím,Súhlasím,Neviem,Nesúhlasím,Nesúhlasím,Neviem,Nesúhlasím,Nesúhlasím,Súhlasím,Neviem,Súhlasím,"Viac popiskov a farebneho odlisenia, casto krat nie je vobec jasne ktore hodnoty patria ku ktorej prednaske a uzivatel musi prebiehat kurozorm nad graf aby sa k tejto informacii dostal"
10.5.2017 12:56:39,Viac ako 18 a menej ako 25 (vrátane),Pracujúci,"Nie, ale viem sa dokonale vcítiť do role organizátora.","Áno, pracujem vo firme, ktorá túto aplikáciu vyvíja.",Neviem,Súhlasím,Neviem,Súhlasím,Neviem,Nesúhlasím,Neviem,Súhlasím,Nesúhlasím,Súhlasím,Nesúhlasím,Nesúhlasím,Súhlasím,Súhlasím,Súhlasím,Neviem,Súhlasím,
10.5.2017 14:15:45,Viac ako 18 a menej ako 25 (vrátane),Študent vysokej školy,"Nie, neviem si predstaviť aké je to byť organizátorom.","Áno, z iných zdrojov ako spomínaných.",Súhlasím,Súhlasím,Neviem,Neviem,Súhlasím,Súhlasím,Súhlasím,Súhlasím,Neviem,Neviem,Nesúhlasím,Neviem,Súhlasím,Veľmi súhlasím,Veľmi súhlasím,Veľmi súhlasím,Veľmi súhlasím,
10.5.2017 19:11:37,Viac ako 18 a menej ako 25 (vrátane),Študent vysokej školy,"Áno, ale inú udalosť ako konferenciu.","Áno, z iných zdrojov ako spomínaných.",Súhlasím,Veľmi súhlasím,Súhlasím,Súhlasím,Súhlasím,Neviem,Neviem,Súhlasím,Neviem,Neviem,Súhlasím,Neviem,Súhlasím,Veľmi súhlasím,Veľmi súhlasím,Veľmi súhlasím,Veľmi súhlasím,"Pre zjednodušenie ovládania si myslím, že by sa hodilo do sekcie Detail eventu pridať tlačítko ""Deselect all"" resp. do riadku selected pridať možnosť ""NONE"". Bolo by to vhodné v prípade ak porovnávam niekoľko prednášok a následne chcem porovnávať iný set prednášok, tak by som nemusel znovu klikať na každú prednášku aby som ju odznačil alebo 2x kliknúť na select all..."
13.5.2017 10:27:30,Viac ako 18 a menej ako 25 (vrátane),Študent vysokej školy,"Áno, ale inú udalosť ako konferenciu.","Áno, z iných zdrojov ako spomínaných.",Súhlasím,Veľmi súhlasím,Veľmi súhlasím,Súhlasím,Súhlasím,Súhlasím,Súhlasím,Súhlasím,Veľmi súhlasím,Veľmi súhlasím,Nesúhlasím,Neviem,Neviem,Súhlasím,Veľmi súhlasím,Veľmi súhlasím,Veľmi súhlasím,
13.5.2017 19:34:55,Viac ako 18 a menej ako 25 (vrátane),Študent vysokej školy,"Áno, ale inú udalosť ako konferenciu.","Áno, použil som túto aplikáciu.",Súhlasím,Súhlasím,Neviem,Súhlasím,Súhlasím,Súhlasím,Neviem,Súhlasím,Neviem,Neviem,Nesúhlasím,Neviem,Súhlasím,Neviem,Neviem,Neviem,Neviem,"Celé to vypadá funkčně, ale chce to zapracovat na UI a UX. Nevěděl jsem co který sloupec v detailu akce znamená. Kdybych nešel podle návodu v tomto dotazníku, tak bych netušil co mám dělat, co vidím, co ty čísla znamenají atd."
13.5.2017 20:18:44,Viac ako 25 a menej ako 40 (vrátane),Pracujúci,"Áno, ale inú udalosť ako konferenciu.","Áno, vyvíjam/vývíjal som túto aplikáciu.",Veľmi súhlasím,Veľmi súhlasím,Súhlasím,Súhlasím,Súhlasím,Súhlasím,Súhlasím,Súhlasím,Súhlasím,Súhlasím,Neviem,Neviem,Neviem,Súhlasím,Súhlasím,Súhlasím,Súhlasím,